2,778,2014-06-05,2015-02-06,46600.9861935484,trade fair and exhibition exhibits
2,540,2015-09-13,2016-08-06,62134.6482580645,spare parts
2,441,2016-08-14,2016-09-17,6440.78670967742,printed materials
3,706,2017-06-07,2017-09-15,43186.5,dangerous
3,514,2018-07-09,2018-12-22,71689.59,electronics
3,964,2018-12-26,2019-01-25,12955.95,containers
4,517,2017-10-08,2019-03-25,200711.431741936,telecommunication equipment
5,854,2017-09-15,2019-02-05,260998.642258064,machine parts
7,535,2013-12-21,2015-04-07,62876.6121290322,forklifts
7,502,2015-05-06,2016-02-05,36633.6193548387,personal items
8,702,2016-10-10,2018-03-06,101332.397419355,personal items
9,810,2018-02-26,2019-01-08,112284.330967742,medical supplies
10,681,2014-08-04,2015-02-24,46867.9273548387,machine parts
11,898,2015-11-25,2016-04-13,42417.9880645161,forklifts
12,837,2016-11-18,2018-10-30,142680.154354839,personal items
14,859,2018-08-18,2020-01-27,195671.7,dangerous
14,944,2020-01-31,2020-11-01,102105.725806452,electronics
14,424,2021-01-28,2021-07-01,57179.2064516129,household and industrial appliances
14,365,2021-11-06,2022-09-06,112873.238709677,forklifts
14,420,2022-10-13,2023-06-04,86882.6903225806,textiles
15,863,2013-06-23,2013-08-17,23327.8330645161,personal items
17,906,2015-11-01,2016-04-26,34296.9388548387,personal items
18,997,2013-07-20,2014-07-02,44582.3361290323,dry and liquid goods
18,520,2014-08-23,2014-10-25,8094.19935483871,forklifts
19,410,2016-01-01,2016-07-08,22533.8054516129,medical supplies
20,646,2015-10-23,2016-12-14,69102.3981290323,telecommunication equipment
20,513,2017-07-17,2018-06-02,52901.3574193548,medical supplies
21,444,2015-04-26,2016-09-08,87895.8278709678,medical supplies
22,824,2015-12-22,2016-06-08,65138.6894516129,equipment
22,439,2016-06-15,2016-11-11,57429.9688064516,personal items
23,690,2013-12-19,2014-09-03,131196.345677419,dangerous
23,743,2014-10-29,2015-09-16,163741.175612903,equipment
24,910,2016-11-12,2017-10-15,88488.068516129,dangerous
24,552,2017-11-25,2018-06-09,51464.8707096774,stationery
24,887,2019-01-03,2019-04-11,25732.4353548387,bulk and packaged goods
25,973,2018-09-27,2020-05-11,104186.576516129,medical supplies
25,360,2020-06-29,2020-07-16,2991.84425806452,textiles
25,852,2020-10-13,2021-08-12,53325.2241290323,trucks
27,530,2017-10-25,2018-03-05,47010.1529032258,medical supplies
31,970,2013-12-06,2014-09-14,68613.0561290323,forklifts
32,407,2014-08-23,2016-01-01,105217.056,bulk and packaged goods
32,418,2016-04-30,2016-10-16,35850.1662580645,machine parts
32,951,2016-10-22,2016-11-30,8273.11529032258,personal items
32,957,2016-12-05,2017-09-04,57911.8070322581,packaged foods and chocolate items
33,620,2017-07-03,2019-06-15,228329.580387097,forklifts
33,596,2020-01-08,2020-07-05,57403.0827096774,forklifts
34,965,2018-07-19,2019-06-04,55811.984516129,household and industrial appliances
34,965,2019-06-15,2020-01-08,36103.377483871,dangerous
36,816,2017-07-28,2018-10-28,155922.459,equipment
37,756,2018-03-30,2020-01-07,131386.117935484,textiles
38,909,2017-10-10,2019-07-11,63330.7540645161,textiles
39,858,2018-12-05,2019-07-29,57884.4812903226,goods under customs control
39,923,2019-08-09,2020-02-14,46356.6396774194,spare parts
40,993,2015-06-19,2015-11-24,49992.8411612903,packaged foods and chocolate items
41,480,2018-08-29,2020-05-15,152082.762096774,personal items
41,591,2020-07-01,2020-07-27,6326.64290322581,chickens
41,988,2020-08-21,2021-07-15,79813.0335483871,cosmetics and personal hygiene products
42,807,2014-11-01,2016-07-20,312139.025709677,machine parts
43,652,2017-02-01,2018-04-17,151243.896774194,bulk and packaged goods
43,565,2018-09-05,2018-11-02,19936.695483871,textiles
44,947,2013-10-07,2014-01-25,17309.2770967742,equipment
44,371,2014-02-11,2014-07-05,22659.4172903226,vehicle parts
45,422,2016-06-30,2017-01-17,108496.584,vehicle parts
46,882,2017-11-23,2018-07-24,22959.5492903226,machine parts
47,583,2016-02-14,2017-05-14,67617.0362903226,medical supplies
