133,984 Poland Ave,44511,YOUNGSTOWN,OH,41.09,-80.64,27862
54,1553 2nd St,99812,STATE OF ALASKA,AK,58.28,-134.4,40784
259,23867 S Whiteside Rd,67570,PRETTY PRAIRE,KS,37.78,-98.01,26718
111,737 Academy Rd,24258,HILTONS,VA,36.65,-82.46,22997
86,20 Knoll St,6878,RIVERSIDE,CT,41.03,-73.58,37660
293,6330 Dodge St,68106,OMAHA,NE,41.26,-96.01,18410
207,38 Grapevine Pl,12110,NEWTONVILLE,NY,42.74,-73.74,27508
214,600 Ave R NE,33882,WINTER HAVEN,FL,28.04,-81.72,40015
84,910 SW 3rd Ave,73448,MARIETTA,OK,33.93,-97.12,36566
380,199 Rodeo Rd,65020,GREENVIEW,MO,38,-92.74,28132
134,51 Old Richmond Rd,40729,VICTORY,KY,37.18,-84.11,39742
35,920 E 4th St,68978,SUPERIOR,NE,40.02,-98.06,28454
268,11801 Rebel Pass,37934,CONCORD FARR,TN,35.87,-84.17,34690
381,58397 Stevens St,48048,NEW HAVEN,MI,42.73,-82.79,33481
169,17363 31st Dr SE,98012,BOTHELL,WA,47.84,-122.19,31777
74,3798 Shenot Rd,15095,BULK MAIL CTR,PA,40.64,-80.09,17082
377,1399 Shelly Ln,8003,WOODCREST,NJ,39.9,-74.99,14632
64,225 Funny Farm Rd,16667,SAINT CLAIRSVILLE,PA,40.18,-78.53,14962
96,1188 S Tippecanoe Ave,92412,SAN BERNARDINO,CA,34.08,-117.26,28780
4,4858 Garland Ave,75270,DALLAS,TX,32.79,-96.76,30376
152,143 Cragford Rd,36251,ASHLAND,AL,33.27,-85.83,17336
212,42 Depot St,13649,HELENA,NY,44.92,-74.72,20283
211,2050 E Windsor Rd,13813,NINEVEH,NY,42.19,-75.6,26508
135,5162 Danielsville St,30647,ILA,GA,34.17,-83.29,11617
141,501 Saint Andrews Ln,80027,LOUISVILLE,CO,39.96,-105.14,15667
384,231 Roosevelt St,49028,BRONSON,MI,41.87,-85.19,16519
80,5080 Washington Ave,60163,MELROSE PARK,IL,41.88,-87.91,21199
313,10023 NE Beech St,97220,MAYWOOD PK,OR,45.55,-122.56,34035
392,153 Melbourne St,13850,TWIN ORCHARDS,NY,42.08,-76.05,17329
316,698 Saint Clair Ave,43228,LINCOLN VILLAGE FIN UNIT,OH,39.98,-82.98,20361
274,376 SW 1st Ct,33063,COCONUT CREEK,FL,26.23,-80.13,30874
141,1782 Morgan St,71070,SALINE,LA,32.16,-92.97,37435
329,101 Roundhouse Rd,17872,HUNTER,PA,40.78,-76.55,10963
230,3900 Crittenden St,20783,LANGLEY PARK,MD,38.95,-76.95,38902
258,1169 Bonita Ave,94040,MT VIEW,CA,37.38,-122.08,23105
8,638 W French Pl,78234,FORT SAM HOUSTON,TX,29.45,-98.5,27705
167,1129 2nd St SE,52498,CEDAR RAPIDS,IA,41.97,-91.66,14256
62,7485 Mystic Lake Rd,48632,LAKE,MI,43.85,-85,29592
11,8725 S Main St,13431,POLAND,NY,43.22,-75.06,14876
235,517 W Delaware Ave,8310,BUENA VISTA TOWNSHIP,NJ,39.52,-74.94,22246
351,1572 Al Tahoe Blvd,96158,SOUTH LAKE TAHOE,CA,38.92,-119.96,17763
372,778 SE 8th St,34478,OCALA,FL,29.18,-82.13,18294
9,198 E Avant,78017,DIVOT,TX,28.66,-99.17,25074
65,5320 Harbor Light Dr,77539,DICKINSON,TX,29.45,-95.06,23701
87,313 E Horner St,36502,MCCULLOUGH,AL,31.02,-87.49,29984
110,1457 S Chambers Rd,80015,CENTENNIAL,CO,39.69,-104.81,21379
33,274 E Washington St,65084,GLENSTED,MO,38.43,-92.84,17726
367,1298 8th Ave,98101,SEATTLE,WA,47.61,-122.33,38765
61,177 Pine View Acers,27252,GOLDSTON,NC,35.59,-79.32,30276
15,1684 Main St,38849,ALMA,MS,34.44,-88.66,25822
342,9471 Burning Oaks Ln,20635,HELEN,MD,38.41,-76.73,10933
37,623 Cinnaminson St,8076,RIVERTON,NJ,40.01,-75.01,12337
284,1940 Ut 118,56629,MANITOU,MN,48.62,-94.1,17449
112,20 Westchester Dr,11789,SCOTTS BEACH,NY,40.95,-72.96,39587
259,46 Conover Ave,7110,NUTLEY,NJ,40.81,-74.15,12070
347,1091 S Vance St,27330,BUFFALO LAKE,NC,35.47,-79.18,27989
87,638 W French Pl,78270,SAN ANTONIO,TX,29.45,-98.5,35858
156,329 Sweetcreek Dr,63021,SHERMAN,MO,38.59,-90.55,27063
279,673 2nd Ave N,37241,REGIONS BANK,TN,36.17,-86.78,29673
304,198 Niobrara Ave,68977,STAMFORD,NE,40.13,-99.59,18501
70,120 McKinley Dr,11951,VILLAGE OF MASTIC BEACH,NY,40.76,-72.84,26562
91,562 W Youmans St,31418,SAVANNAH,GA,32.08,-81.1,15287
256,1064 Shelburne Rd,5403,S BTV,VT,44.44,-73.21,25481
219,253 E Water St,41041,FLEMINGSBURG,KY,38.42,-83.73,17036
263,23 Hughes St NE,32548,OKALOOSA IS,FL,30.42,-86.61,37366
22,1711 Bluebonnet Place Cir,77061,HOUSTON,TX,29.76,-95.38,39553
32,1927 Berkshire Ln,80917,CO SPGS,CO,38.86,-104.76,16935
184,743 Myrtle Rd,8902,NORTH BRUNSWICK,NJ,40.45,-74.48,13728
80,299 E Grand Ave,45458,CENTERVILLE,OH,39.77,-84.19,38645
390,298 S Maple St,8096,DEPTFORD TOWNSHIP,NJ,39.83,-75.15,23723
83,2 Quarry Ln,4033,FREEPORT,ME,43.85,-70.1,13418
239,1776 S Monroe St,46803,FORT WAYNE,IN,41.07,-85.13,30283
301,398 Lakeside Dr,4575,W BOOTHBAY HA,ME,43.85,-69.65,35030
181,3098 Illinois Ave,76544,MONTAGUE VILLAGE,TX,31.09,-97.71,13696
282,201 Nunley Rd,24884,SQUIRE,WV,37.26,-81.56,19737
381,7744 Lake Tahoe Ave,92159,SAN DIEGO,CA,32.8,-117.03,34592
218,21899 S Western Ave,90501,TORRANCE,CA,33.83,-118.31,20758
198,889 Ward Ave,96808,HON,HI,21.3,-157.85,12161
280,550 E F St,93581,TEHACHAPI,CA,35.13,-118.44,10505
40,1446 Kosciusko Blvd,46323,HESSVILLE,IN,41.62,-87.49,16971
49,1499 Arkansas Ct,22192,PRINCE WILLIAM,VA,38.63,-77.26,36534
202,183 Allison Rd,13337,OAKSVILLE,NY,42.71,-74.98,16459
319,63 Church St,17236,MARKES,PA,39.83,-77.9,33613
326,2638 Hayes St,33025,PEMBROKE PINES,FL,26.02,-80.16,31685
244,101 Washington St,71901,FOUNTAIN LAKE,AR,34.5,-93.05,30044
88,924 Taylor Rd,17312,CRALEY,PA,39.95,-76.54,25608
197,375 E Chestnut St,27371,MORATOCK,NC,35.36,-79.89,21395
383,12978 Townwood Dr,77247,HOUSTON,TX,29.64,-95.43,20699
153,1364 S Maryland Ave,65890,SPRINGFIELD,MO,37.19,-93.28,25528
210,3144 Canyon Valley Trl,75094,ALLEN,TX,33.04,-96.74,35330
172,889 Ward Ave,96848,HONO,HI,21.3,-157.85,33222
83,1753 NW 70th Ave,33148,EASTERN AIRLINES,FL,25.79,-80.31,34972
130,468 S 1st St,72459,RAVENDEN,AR,36.23,-91.25,23224
215,2738 Saint Marys St,27675,WESTGATE,NC,35.82,-78.65,13377
27,37 Albert Ave,19018,PRIMOS,PA,39.92,-75.29,21659
277,598 Arikaree Ave,69045,WAUNETA,NE,40.41,-101.37,39786
151,741 SW Main St,71322,BUNKIE,LA,30.95,-92.18,40195
391,1298 Tanner Ave,31554,BICKLEY,GA,31.51,-82.63,19460
123,101 Kater Ave,47060,WEST HARRISON,IN,39.26,-84.82,30579
53,140 Cedar St,6147,HARTFORD,CT,41.76,-72.68,40490
149,252 E 3rd St,16693,GANISTER,PA,40.46,-78.2,36039
127,137 4th St,16933,KELLYTOWN,PA,41.8,-77.07,36951
207,257 W Asher St,22701,HAYWOOD,VA,38.47,-78,30168
239,2302 10th Ave S,55418,ST ANTHNY VLG,MN,44.96,-93.26,24404
31,300 SW 4th St,33261,NORTH MIAMI BEACH,FL,25.77,-80.2,25749
342,3101 1st Ave S,35295,ALA GAS CORP,AL,33.52,-86.79,27747
284,858 Hanover St,77957,EDNA,TX,28.97,-96.64,37738
177,510 Shelby Dry Fork,41562,SUTTON,KY,37.42,-82.49,12121
32,99 Hunter Dr,35553,DOUBLE SPRINGS,AL,34.14,-87.4,29874
233,2979 E Las Hermanas St,90221,EAST RANCHO DOMINGUEZ,CA,33.87,-118.21,39565
39,100 Sanders St,73041,GOTEBO,OK,35.07,-98.87,21473
261,1111 Throckmorton St,76199,FT WORTH,TX,32.75,-97.33,34669
139,2222 40th Pl,50062,MELCHER-DALLAS,IA,41.2,-93.27,27412
12,2874 L St,68508,LINCOLN,NE,40.81,-96.68,34664
13,1927 Berkshire Ln,80951,COLORADO SPGS,CO,38.86,-104.76,28237
290,12721 Chicago St,36530,MIFLIN,AL,30.41,-87.6,15354
52,98 Northbound Gratiot Ave,48046,MOUNT CLEMENS,MI,42.59,-82.88,13443
234,708 S Palm Ave,34243,SARASOTA,FL,27.33,-82.54,22242
240,8055 Co Rd 48,34797,HOWEY IN THE HILLS,FL,28.74,-81.82,35779
346,10097 Franktown Rd,23413,WEIRWOOD,VA,37.47,-75.86,31541
157,1 E Cherry St,11722,S HAUPPAUGE,NY,40.78,-73.19,24991
279,117 Hardy Hill Rd,15431,DUNBAR,PA,39.97,-79.61,22745
339,109 Central Ave,10580,RYE,NY,40.98,-73.69,33946
58,875 Prairie Ave SE,55321,COKATO,MN,45.07,-94.18,30145
302,275 Potter St,48861,MULLIKEN,MI,42.76,-84.89,36164
311,7266 US Hwy 27,32038,FORT WHITE,FL,29.92,-82.71,24709
342,6290 Davis Blvd,76180,FORT WORTH,TX,32.86,-97.21,30056
5,47-65 45th St,11104,LONG ISLAND CITY,NY,40.74,-73.92,17950
25,773 S 2nd St,76656,GOODVILLE,TX,31.2,-97.03,33638
66,47 Wood Park Ln,12090,WALLOOMSAC,NY,42.9,-73.35,38602
395,2 Commanche Cir,72525,HARDY,AR,36.3,-91.53,15655
372,399 Marvin Ave,65014,CLEAVESVILLE,MO,38.3,-91.63,32746
315,4601 S Thousand Oaks Dr,84124,MURRAY,UT,40.67,-111.79,35928
144,3886 Lewisberry Rd,17339,PINETOWN,PA,40.13,-76.86,19703
4,99 Covewood Cir,72212,LITTLE ROCK,AR,34.72,-92.35,10449
110,5299 Frew St,15289,PITTSBURGH,PA,40.44,-79.94,12353
195,94 Galloway Rd,10990,WARWICK,NY,41.25,-74.35,18078
328,358 Hartford Ave,50367,CITIGROUP,IA,41.57,-93.61,25858
19,1455 4th Ave,11040,NORTH HILLS,NY,40.73,-73.68,37626
100,300 Williams St,49251,LESLIE,MI,42.45,-84.43,34776
271,138 Woodhaven Dr,39365,UNION,MS,32.57,-89.11,31600
108,16 Camp Yankee Rd,6282,WOODSTOCK VALLEY,CT,41.92,-72.1,29488
320,276 Dick Rd,48834,FENWICK,MI,43.14,-85.08,17487
396,25898 Brush Creek Rd,97336,CRAWFORDSVILLE,OR,44.35,-122.85,28320
2,1825 E Heather Ave,85234,GILBERT,AZ,33.36,-111.75,19800
208,1215 S Country Club Dr,87301,MANUELITO,NM,35.52,-108.73,39329
293,521 E 12th St,88101,CANNON AFB,NM,34.41,-103.2,28309
371,9780 E Baseline Rd,85208,MESA,AZ,33.38,-111.63,26708
152,300 SW 4th St,33157,SOUTH MIAMI HEIGHTS,FL,25.77,-80.2,25724
13,898 Hampton Ct,33327,PLANTATION,FL,26.11,-80.39,36764
268,27 Nelson Ave,12866,SARATOGA SPRINGS,NY,43.06,-73.77,34774
274,901 E 4th St,73015,CARNEGIE,OK,35.1,-98.59,17817
71,276 Bacons Neck Rd,8323,GREENWICH TOWNSHIP,NJ,39.39,-75.36,27036
244,248 Fourth St,56757,STEPHEN,MN,48.45,-96.87,20821
301,62 Reed Dr,39422,BAY SPRINGS,MS,31.98,-89.28,25086
111,539 Buena Vista St,51002,HANOVER,IA,42.67,-95.3,28794
393,3882 Martin Farm Rd,30024,JOHNS CREEK,GA,34.05,-84.07,26061
250,355 Renwick Ave,13205,COLVIN,NY,43.04,-76.14,26138
377,1111 Throckmorton St,76193,FORT WORTH,TX,32.75,-97.33,34988
77,10 Garwood Rd,7452,GLEN ROCK,NJ,40.95,-74.12,12207
189,300 SW 4th St,33174,SWEETWATER,FL,25.77,-80.2,33061
116,10154 Martin Luther King Blvd,80225,LAKEWOOD,CO,39.76,-104.87,16325
97,889 Ward Ave,96844,UNIVERSITY OF HAWAII,HI,21.3,-157.85,16575
399,1711 Bluebonnet Place Cir,77030,HOUSTON,TX,29.76,-95.38,15296
72,758 W 12th St,32406,PANAMA CITY,FL,30.17,-85.67,10418
320,737 Academy Rd,24258,HILTONS,VA,36.65,-82.46,23002
141,2255 N 37th St,53237,MILWAUKEE,WI,43.06,-87.96,24629
319,3854 Rome Rd,13142,PULASKI,NY,43.56,-76.12,19464
242,98 Rutgers Slip,10055,NEW YORK,NY,40.71,-73.99,19520
223,14515 Shireen Dr,44149,CLEVELAND,OH,41.31,-81.85,26990
79,241499 Walnut St,73658,EAGLE CITY,OK,35.93,-98.7,19803
235,901 2nd St SE,57345,HOWELL,SD,44.52,-99.43,13880
340,310 Turner McCall Blvd,30161,ROME,GA,34.26,-85.18,40186
7,398 S 8th St,54405,ABBOTSFORD,WI,44.94,-90.31,21197
376,699 Bellmont St,62863,COWLING,IL,38.41,-87.77,25473
47,98 Rutgers Slip,10018,NEW YORK,NY,40.71,-73.99,32243
124,545 E Eastwood Dr,67001,ANDALE,KS,37.79,-97.62,25224
359,1023 S Kansas St,66966,SCANDIA,KS,39.79,-97.78,20987
118,312 Willow Tree Ln,35175,UNION GROVE,AL,34.4,-86.44,40354
276,305 Rockaway Ave,11580,VALLEY STREAM,NY,40.66,-73.7,19062
68,1307 15th St,25779,HUNTINGTON,WV,38.41,-82.43,39971
364,487 Hidden Ridges Way,54113,COMBINED LCKS,WI,44.26,-88.31,21582
