12055,13850,STANDARD,TRACY CREEK,NY,NOT ACCEPTABLE,42.08,-76.05,0.17,-0.72,0.67,NA,US,"Tracy Creek, NY",NA-US-NY-TRACY CREEK,FALSE,10488,18401,469620829,Converted Decommisioned Zipcodes;  Historical ZipCodeType from various website,153,Melbourne St
25229,44511,STANDARD,YOUNGSTOWN,OH,PRIMARY,41.09,-80.64,0.12,-0.74,0.65,NA,US,"Youngstown, OH",NA-US-OH-YOUNGSTOWN,FALSE,9660,15743,260202952,Converted Decommisioned Zipcodes,984,Poland Ave
44450,99812,UNIQUE,STATE OF ALASKA,AK,NOT ACCEPTABLE,58.28,-134.4,-0.36,-0.37,0.85,NA,US,"State Of Alaska, AK",NA-US-AK-STATE OF ALASKA,FALSE,NA,NA,NA,"no NWS data, ",1553,2nd St
35125,67570,STANDARD,PRETTY PRAIRE,KS,ACCEPTABLE,37.78,-98.01,-0.11,-0.78,0.61,NA,US,"Pretty Praire, KS",NA-US-KS-PRETTY PRAIRE,FALSE,640,1183,20429475,"no NWS data, ",23867,S Whiteside Rd
18982,24258,STANDARD,HILTONS,VA,PRIMARY,36.65,-82.46,0.1,-0.79,0.59,NA,US,"Hiltons, VA",NA-US-VA-HILTONS,FALSE,615,1141,17963031,Converted Decommisioned Zipcodes;  Historical ZipCodeType from various website,737,Academy Rd
6912,6878,STANDARD,RIVERSIDE,CT,PRIMARY,41.03,-73.58,0.21,-0.72,0.65,NA,US,"Riverside, CT",NA-US-CT-RIVERSIDE,FALSE,3747,7019,875552855,Converted Decommisioned Zipcodes,20,Knoll St
35980,68106,STANDARD,OMAHA,NE,PRIMARY,41.26,-96.01,-0.07,-0.74,0.65,NA,US,"Omaha, NE",NA-US-NE-OMAHA,FALSE,10521,15966,353634802,Converted Decommisioned Zipcodes,6330,Dodge St
11258,12110,STANDARD,NEWTONVILLE,NY,ACCEPTABLE,42.74,-73.74,0.2,-0.7,0.67,NA,US,"Newtonville, NY",NA-US-NY-NEWTONVILLE,FALSE,10212,17260,463248183,Converted Decommisioned Zipcodes,38,Grapevine Pl
53107,33882,PO BOX,WINTER HAVEN,FL,PRIMARY,28.04,-81.72,0.12,-0.87,0.47,NA,US,"Winter Haven, FL",NA-US-FL-WINTER HAVEN,FALSE,499,845,19157475,"no NWS data, ",600,Ave R NE
59303,73448,STANDARD,MARIETTA,OK,PRIMARY,33.93,-97.12,-0.1,-0.82,0.55,NA,US,"Marietta, OK",NA-US-OK-MARIETTA,FALSE,2484,4503,73304491,"no NWS data, ",910,SW 3rd Ave
72418,65020,STANDARD,GREENVIEW,MO,NOT ACCEPTABLE,38,-92.74,-0.03,-0.78,0.61,NA,US,"Greenview, MO",NA-US-MO-GREENVIEW,FALSE,6388,11399,165682464,"no NWS data, ",199,Rodeo Rd
22416,40729,STANDARD,VICTORY,KY,ACCEPTABLE,37.18,-84.11,0.08,-0.79,0.6,NA,US,"Victory, KY",NA-US-KY-VICTORY,FALSE,2177,4223,59580486,"no NWS data, ",51,Old Richmond Rd
36222,68978,STANDARD,SUPERIOR,NE,PRIMARY,40.02,-98.06,-0.1,-0.75,0.64,NA,US,"Superior, NE",NA-US-NE-SUPERIOR,FALSE,1155,1993,25405139,Converted Decommisioned Zipcodes,920,E 4th St
21109,37934,STANDARD,CONCORD FARR,TN,NOT ACCEPTABLE,35.87,-84.17,0.08,-0.8,0.58,NA,US,"Concord Farr, TN",NA-US-TN-CONCORD FARR,FALSE,11134,21174,681700579,"no NWS data, ",11801,Rebel Pass
66865,48048,STANDARD,NEW HAVEN,MI,PRIMARY,42.73,-82.79,0.09,-0.72,0.67,NA,US,"New Haven, MI",NA-US-MI-NEW HAVEN,FALSE,3141,5809,111116715,Converted Decommisioned Zipcodes,58397,Stevens St
42927,98012,STANDARD,BOTHELL,WA,PRIMARY,47.84,-122.19,-0.35,-0.56,0.74,NA,US,"Bothell, WA",NA-US-WA-BOTHELL,FALSE,24924,45281,1468834734,Converted Decommisioned Zipcodes,17363,31st Dr SE
15281,15095,PO BOX,BULK MAIL CTR,PA,ACCEPTABLE,40.64,-80.09,0.13,-0.74,0.65,NA,US,"Bulk Mail Ctr, PA",NA-US-PA-BULK MAIL CTR,FALSE,NA,NA,NA,,3798,Shenot Rd
12533,8003,STANDARD,WOODCREST,NJ,NOT ACCEPTABLE,39.9,-74.99,0.19,-0.74,0.64,NA,US,"Woodcrest, NJ",NA-US-NJ-WOODCREST,FALSE,15101,27889,1105139645,,1399,Shelly Ln
14728,16667,STANDARD,SAINT CLAIRSVILLE,PA,ACCEPTABLE,40.18,-78.53,0.15,-0.74,0.64,NA,US,"Saint Clairsville, PA",NA-US-PA-SAINT CLAIRSVILLE,FALSE,698,1254,20513607,,225,Funny Farm Rd
46253,92412,PO BOX,SAN BERNARDINO,CA,PRIMARY,34.08,-117.26,-0.37,-0.73,0.56,NA,US,"San Bernardino, CA",NA-US-CA-SAN BERNARDINO,FALSE,276,443,10625650,,1188,S Tippecanoe Ave
60151,75270,STANDARD,DALLAS,TX,PRIMARY,32.79,-96.76,-0.09,-0.83,0.54,NA,US,"Dallas, TX",NA-US-TX-DALLAS,FALSE,NA,NA,NA,,4858,Garland Ave
53203,36251,STANDARD,ASHLAND,AL,PRIMARY,33.27,-85.83,0.06,-0.83,0.54,NA,US,"Ashland, AL",NA-US-AL-ASHLAND,FALSE,2255,4231,63884139,,143,Cragford Rd
11147,13649,PO BOX,HELENA,NY,PRIMARY,44.92,-74.72,0.18,-0.68,0.7,NA,US,"Helena, NY",NA-US-NY-HELENA,FALSE,NA,NA,NA,,42,Depot St
11471,13813,STANDARD,NINEVEH,NY,PRIMARY,42.19,-75.6,0.18,-0.71,0.67,NA,US,"Nineveh, NY",NA-US-NY-NINEVEH,FALSE,434,766,11627514,,2050,E Windsor Rd
79848,30647,PO BOX,ILA,GA,PRIMARY,34.17,-83.29,0.09,-0.82,0.56,NA,US,"Ila, GA",NA-US-GA-ILA,FALSE,272,498,8140291,,5162,Danielsville St
37387,80027,STANDARD,LOUISVILLE,CO,PRIMARY,39.96,-105.14,-0.2,-0.73,0.64,NA,US,"Louisville, CO",NA-US-CO-LOUISVILLE,FALSE,14983,27059,959161213,,501,Saint Andrews Ln
67288,49028,STANDARD,BRONSON,MI,PRIMARY,41.87,-85.19,0.06,-0.74,0.66,NA,US,"Bronson, MI",NA-US-MI-BRONSON,FALSE,2870,5165,80846791,,231,Roosevelt St
70259,60163,STANDARD,MELROSE PARK,IL,ACCEPTABLE,41.88,-87.91,0.02,-0.74,0.66,NA,US,"Melrose Park, IL",NA-US-IL-MELROSE PARK,FALSE,2597,4474,93701924,,5080,Washington Ave
42360,97220,STANDARD,MAYWOOD PK,OR,NOT ACCEPTABLE,45.55,-122.56,-0.37,-0.59,0.71,NA,US,"Maywood Pk, OR",NA-US-OR-MAYWOOD PK,FALSE,13107,21235,385121843,,10023,NE Beech St
12056,13850,STANDARD,TWIN ORCHARDS,NY,NOT ACCEPTABLE,42.08,-76.05,0.17,-0.72,0.67,NA,US,"Twin Orchards, NY",NA-US-NY-TWIN ORCHARDS,FALSE,10488,18401,469620829,,153,Melbourne St
25975,43228,STANDARD,LINCOLN VILLAGE FIN UNIT,OH,NOT ACCEPTABLE,39.98,-82.98,0.09,-0.76,0.64,NA,US,"Lincoln Village Fin Unit, OH",NA-US-OH-LINCOLN VILLAGE FIN UNIT,FALSE,23462,39028,718906895,,698,Saint Clair Ave
51636,33063,STANDARD,COCONUT CREEK,FL,ACCEPTABLE,26.23,-80.13,0.15,-0.88,0.44,NA,US,"Coconut Creek, FL",NA-US-FL-COCONUT CREEK,FALSE,24617,40464,796087384,,376,SW 1st Ct
57232,71070,STANDARD,SALINE,LA,PRIMARY,32.16,-92.97,-0.04,-0.84,0.53,NA,US,"Saline, LA",NA-US-LA-SALINE,FALSE,652,1225,22445443,,1782,Morgan St
17514,17872,STANDARD,HUNTER,PA,NOT ACCEPTABLE,40.78,-76.55,0.17,-0.73,0.65,NA,US,"Hunter, PA",NA-US-PA-HUNTER,FALSE,4540,7558,110316191,,101,Roundhouse Rd
74029,20783,STANDARD,LANGLEY PARK,MD,NOT ACCEPTABLE,38.95,-76.95,0.17,-0.75,0.62,NA,US,"Langley Park, MD",NA-US-MD-LANGLEY PARK,FALSE,18208,29484,535843955,,3900,Crittenden St
47189,94040,STANDARD,MT VIEW,CA,NOT ACCEPTABLE,37.38,-122.08,-0.42,-0.67,0.6,NA,US,"Mt View, CA",NA-US-CA-MT VIEW,FALSE,15194,26205,1209980132,,1169,Bonita Ave
64150,78234,STANDARD,FORT SAM HOUSTON,TX,ACCEPTABLE,29.45,-98.5,-0.12,-0.86,0.49,NA,US,"Fort Sam Houston, TX",NA-US-TX-FORT SAM HOUSTON,FALSE,1673,3432,69135921,,638,W French Pl
27195,52498,UNIQUE,CEDAR RAPIDS,IA,PRIMARY,41.97,-91.66,-0.02,-0.74,0.66,NA,US,"Cedar Rapids, IA",NA-US-IA-CEDAR RAPIDS,FALSE,NA,NA,NA,,1129,2nd St SE
67715,48632,STANDARD,LAKE,MI,PRIMARY,43.85,-85,0.06,-0.71,0.69,NA,US,"Lake, MI",NA-US-MI-LAKE,FALSE,2150,3800,41222426,,7485,Mystic Lake Rd
11602,13431,STANDARD,POLAND,NY,PRIMARY,43.22,-75.06,0.18,-0.7,0.68,NA,US,"Poland, NY",NA-US-NY-POLAND,FALSE,899,1641,31559051,,8725,S Main St
12471,8310,STANDARD,BUENA VISTA TOWNSHIP,NJ,NOT ACCEPTABLE,39.52,-74.94,0.2,-0.74,0.63,NA,US,"Buena Vista Township, NJ",NA-US-NJ-BUENA VISTA TOWNSHIP,FALSE,927,1546,30173830,,517,W Delaware Ave
41308,96158,PO BOX,SOUTH LAKE TAHOE,CA,PRIMARY,38.92,-119.96,-0.38,-0.67,0.62,NA,US,"South Lake Tahoe, CA",NA-US-CA-SOUTH LAKE TAHOE,FALSE,2075,3210,59761679,,1572,Al Tahoe Blvd
49592,34478,PO BOX,OCALA,FL,PRIMARY,29.18,-82.13,0.11,-0.86,0.48,NA,US,"Ocala, FL",NA-US-FL-OCALA,FALSE,1945,3124,56946182,,778,SE 8th St
63179,78017,STANDARD,DIVOT,TX,NOT ACCEPTABLE,28.66,-99.17,-0.13,-0.86,0.47,NA,US,"Divot, TX",NA-US-TX-DIVOT,FALSE,1330,2511,34329782,,198,E Avant
62098,77539,STANDARD,DICKINSON,TX,PRIMARY,29.45,-95.06,-0.07,-0.86,0.49,NA,US,"Dickinson, TX",NA-US-TX-DICKINSON,FALSE,15957,29043,703343434,,5320,Harbor Light Dr
53216,36502,STANDARD,MCCULLOUGH,AL,ACCEPTABLE,31.02,-87.49,0.03,-0.85,0.51,NA,US,"Mccullough, AL",NA-US-AL-MCCULLOUGH,FALSE,5947,11077,158956008,,313,E Horner St
36394,80015,STANDARD,CENTENNIAL,CO,ACCEPTABLE,39.69,-104.81,-0.19,-0.74,0.63,NA,US,"Centennial, CO",NA-US-CO-CENTENNIAL,FALSE,27937,52858,1553331128,,1457,S Chambers Rd
73229,65084,STANDARD,GLENSTED,MO,NOT ACCEPTABLE,38.43,-92.84,-0.03,-0.78,0.62,NA,US,"Glensted, MO",NA-US-MO-GLENSTED,FALSE,2722,4925,59230783,,274,E Washington St
43719,98101,STANDARD,SEATTLE,WA,PRIMARY,47.61,-122.33,-0.36,-0.56,0.73,NA,US,"Seattle, WA",NA-US-WA-SEATTLE,FALSE,6245,7771,321726983,,1298,8th Ave
76808,27252,STANDARD,GOLDSTON,NC,PRIMARY,35.59,-79.32,0.15,-0.79,0.58,NA,US,"Goldston, NC",NA-US-NC-GOLDSTON,FALSE,806,1471,24727050,,177,Pine View Acers
55058,38849,STANDARD,ALMA,MS,NOT ACCEPTABLE,34.44,-88.66,0.01,-0.82,0.56,NA,US,"Alma, MS",NA-US-MS-ALMA,FALSE,2129,4127,67087853,,1684,Main St
74006,20635,PO BOX,HELEN,MD,PRIMARY,38.41,-76.73,0.17,-0.76,0.62,NA,US,"Helen, MD",NA-US-MD-HELEN,FALSE,NA,NA,NA,,9471,Burning Oaks Ln
12945,8076,PO BOX,RIVERTON,NJ,PRIMARY,40.01,-75.01,0.19,-0.73,0.64,NA,US,"Riverton, NJ",NA-US-NJ-RIVERTON,FALSE,NA,NA,NA,,623,Cinnaminson St
28710,56629,PO BOX,MANITOU,MN,NOT ACCEPTABLE,48.62,-94.1,-0.04,-0.65,0.75,NA,US,"Manitou, MN",NA-US-MN-MANITOU,FALSE,NA,NA,NA,,1940,Ut 118
10219,11789,STANDARD,SCOTTS BEACH,NY,NOT ACCEPTABLE,40.95,-72.96,0.22,-0.72,0.65,NA,US,"Scotts Beach, NY",NA-US-NY-SCOTTS BEACH,FALSE,3608,6415,185404068,,20,Westchester Dr
8153,7110,STANDARD,NUTLEY,NJ,PRIMARY,40.81,-74.15,0.2,-0.72,0.65,NA,US,"Nutley, NJ",NA-US-NJ-NUTLEY,FALSE,14513,25001,882251300,,46,Conover Ave
77391,27330,STANDARD,BUFFALO LAKE,NC,ACCEPTABLE,35.47,-79.18,0.15,-0.79,0.58,NA,US,"Buffalo Lake, NC",NA-US-NC-BUFFALO LAKE,FALSE,14879,27541,516945746,,1091,S Vance St
64210,78270,PO BOX,SAN ANTONIO,TX,PRIMARY,29.45,-98.5,-0.12,-0.86,0.49,NA,US,"San Antonio, TX",NA-US-TX-SAN ANTONIO,FALSE,409,650,13395100,,638,W French Pl
